task_id,task_date,city,organisation_unit,task_type,execution_mode,minutes_spent,errors_found,human_review,outcome,confidence_rating,staff_sentiment,comment,tool_version
TASK-0031,2026-02-10,Odense,Citizen Services,Scheduling,AI assisted,31.3,0,No,Completed,4.1,Positive,The process was faster and staff felt positive.,v1.0
TASK-0032,2026-02-13,Aarhus,Citizen Services,Scheduling,Automated,12.4,2,Yes,Completed,4.1,Positive,The tool was not suitable for this exception.,v1.1
TASK-0033,2026-02-16,Copenhagen,Citizen Services,Status Update,AI-assisted,44.9,0,No,Completed,4.7,Positive,The task was faster but still needed human review.,v1.2
TASK-0034,2026-02-19,Aalborg,Citizen Services,Status Update,Manual,41.5,3,No,Completed,2.9,Concerned,Staff did not trust the first suggestion.,v1.0
TASK-0035,2026-02-22,Odense,Citizen Services,Status Update,Automated,28.7,3,Yes,Completed,2.6,Concerned,No error was found after review.,v1.1
TASK-0036,2026-02-25,Aarhus,HR,Status Update,AI-assisted,12.0,3,Yes,Completed,3.7,Neutral,The automated step failed and required manual work.,v1.2
TASK-0037,2026-02-01,Copenhagen,HR,Email Triage,Automated,8.0,1,Y,Completed,3.8,Neutral,The result was clear and useful.,v1.0
TASK-0038,2026-02-04,Aalborg,HR,Email Triage,AI-assisted,30.3,2,Yes,Completed,3.2,Neutral,Human review caught an important error.,v1.1
TASK-0039,2026-02-07,Odense,HR,Email Triage,Manual,48.1,0,No,Completed,3.6,Neutral,The process was faster and staff felt positive.,v1.2
TASK-0040,2026-02-10,Aarhus,HR,Email Triage,Automated,16.4,0,Yes,Completed,4.2,Positive,The tool was not suitable for this exception.,v1.0
TASK-0041,2026-03-13,Copenhagen,Procurement,Data Entry,AI-assisted,20.9,2,Yes,Completed,4.4,Positive,The task was faster but still needed human review.,v1.1
TASK-0042,2026-03-16,Aalborg,Procurement,Data Entry,Manual,43.2,1,No,Completed,3.3,Neutral,Staff did not trust the first suggestion.,v1.2
TASK-0043,2026-03-19,Odense,Procurement,Data Entry,Automated,26.1,0,Yes,Completed,4.7,concerned,No error was found after review.,v1.0
TASK-0044,2026-03-22,Aarhus,Procurement,Data Entry,AI-assisted,26.7,1,Yes,Completed,3.7,Neutral,The automated step failed and required manual work.,v1.1
TASK-0045,2026-03-25,Copenhagen,Procurement,Document Check,Manual,30.3,2,No,Completed,3.7,Neutral,The result was clear and useful.,v1.2
TASK-0046,2026-03-01,Aalborg,Communications,Document Check,AI-assisted,32.2,1,Yes,Completed,3.6,Neutral,Human review caught an important error.,v1.0
TASK-0047,2026-03-04,Odense,Communications,Document Check,Manual,46.4,2,No,Completed,3.3,Neutral,The process was faster and staff felt positive.,v1.1
TASK-0048,2026-03-07,Aarhus,Communications,Document Check,Automated,16.4,0,No,Completed,4.9,Positive,The tool was not suitable for this exception.,v1.2
TASK-0049,2026-02-30,Copenhagen,Communications,Scheduling,AI-assisted,12.0,0,No,Completed,3.9,Neutral,The task was faster but still needed human review.,v1.0
TASK-0050,2026-03-13,Aalborg,Communications,Scheduling,Manual,unknown,2,No,Completed,2.7,Concerned,Staff did not trust the first suggestion.,v1.1
TASK-0051,2026-03-16,Odense,Finance,Scheduling,Automated,-5,3,Yes,Completed,2.4,Concerned,No error was found after review.,v1.2
TASK-0052,2026-03-19,Aarhus,Finance,Scheduling,AI-assisted,19.7,-1,Yes,Completed,3.5,Neutral,The automated step failed and required manual work.,v1.0
TASK-0053,2026-03-22,Copenhagen,Finance,Status Update,Manual,39.8,3,No,Completed,7.0,Neutral,The result was clear and useful.,v1.1
TASK-0054,2026-03-25,Aalborg,Finance,Status Update,Automated,13.9,7,No,Needs correction,3.8,Neutral,Human review caught an important error.,v1.2
TASK-0055,2026-03-01,Odense,Finance,Status Update,Manual,48.7,1,No,Completed,3.7,Neutral,The process was faster and staff felt positive.,v1.0
TASK-0056,2026-03-04,Aarhus,Citizen Services,Status Update,Automated,20.3,3,No,Completed,2.7,Concerned,The tool was not suitable for this exception.,v1.1
TASK-0057,2026-03-07,Copenhagen,Citizen Services,Email Triage,AI-assisted,36.7,3,Yes,Completed,3.2,Neutral,The task was faster but still needed human review.,v1.2
TASK-0058,2026-03-10,Aalborg,Citizen Services,Email Triage,Manual,32.9,3,No,Completed,2.5,Concerned,Staff did not trust the first suggestion.,v1.0
TASK-0059,2026-03-13,Odense,Citizen Services,Email Triage,Automated,19.5,2,No,Completed,3.9,Neutral,No error was found after review.,v1.1
TASK-0060,2026-03-16,Aarhus,Citizen Services,Email Triage,AI-assisted,26.1,1,No,Completed,3.6,Neutral,The automated step failed and required manual work.,v1.2
TASK-0061,2026-04-19,Copenhagen,HR,Data Entry,Manual,49.3,0,No,Completed,4.3,Positive,The result was clear and useful.,v1.0
TASK-0062,2026-04-22,Aalborg,HR,Data Entry,Automated,29.1,2,Yes,Completed,3.4,Neutral,Human review caught an important error.,v1.1
TASK-0063,2026-04-25,Odense,HR,Data Entry,AI-assisted,22.6,0,Yes,Completed,4.7,Positive,The process was faster and staff felt positive.,v1.2
TASK-0064,2026-04-01,Aarhus,HR,Data Entry,Automated,34.1,4,Yes,Needs correction,2.8,Concerned,The tool was not suitable for this exception.,v1.0
TASK-0065,2026-04-04,Copenhagen,HR,Document Check,AI-assisted,23.1,4,Yes,Needs correction,2.3,Concerned,The task was faster but still needed human review.,v1.1
TASK-0066,2026-04-07,Aalborg,Procurement,Document Check,Manual,44.6,1,No,Completed,4.0,Positive,Staff did not trust the first suggestion.,v1.2
TASK-0067,2026-04-10,Odense,Procurement,Document Check,Automated,2.0,1,Yes,Completed,4.3,Positive,No error was found after review.,v1.0
TASK-0068,2026-04-13,Aarhus,Procurement,Document Check,AI-assisted,12.7,2,Yes,Completed,3.8,Neutral,The automated step failed and required manual work.,v1.1
TASK-0069,2026-04-16,Copenhagen,Procurement,Scheduling,Manual,65.0,0,No,Completed,4.0,Positive,The result was clear and useful.,v1.2
TASK-0070,2026-04-19,Aalborg,Procurement,Scheduling,Automated,18.6,1,No,Completed,3.5,Neutral,Human review caught an important error.,v1.0
TASK-0071,2026-04-22,Odense,Communications,Scheduling,AI-assisted,13.9,3,Yes,Completed,2.3,Concerned,The process was faster and staff felt positive.,v1.1
TASK-0072,2026-04-25,Aarhus,Communications,Scheduling,Manual,60.0,1,No,Completed,4.1,Positive,The tool was not suitable for this exception.,v1.2
TASK-0073,2026-04-01,Copenhagen,Communications,Status Update,AI-assisted,47.0,2,Yes,Completed,4.1,Positive,The task was faster but still needed human review.,v1.0
TASK-0074,2026-04-04,Aalborg,Communications,Status Update,Manual,42.3,0,No,Completed,4.8,Positive,Staff did not trust the first suggestion.,v1.1
TASK-0075,2026-04-07,Odense,Communications,Status Update,Automated,30.4,2,Yes,Completed,2.9,Concerned,No error was found after review.,v1.2
TASK-0076,2026-04-10,Aarhus,Finance,Status Update,AI-assisted,48.0,2,No,Completed,3.6,Neutral,The automated step failed and required manual work.,v1.0
TASK-0077,2026-04-13,Copenhagen,Finance,Email Triage,Manual,44.0,2,No,Completed,2.6,Concerned,The result was clear and useful.,v1.1
TASK-0078,2026-04-16,Aalborg,Finance,Email Triage,Automated,15.0,2,Yes,Completed,3.3,Neutral,Human review caught an important error.,v1.2
TASK-0079,2026-04-19,Odense,Finance,Email Triage,AI-assisted,39.0,3,Yes,Completed,3.2,Neutral,The process was faster and staff felt positive.,v1.0
TASK-0080,2026-04-22,Aarhus,Finance,Email Triage,Manual,48.2,1,No,Completed,4.1,Positive,The tool was not suitable for this exception.,v1.1
TASK-0081,2026-05-25,Copenhagen,Citizen Services,Data Entry,Automated,29.6,3,Yes,Completed,3.2,Neutral,The task was faster but still needed human review.,v1.2
TASK-0082,2026-05-01,Aalborg,Citizen Services,Data Entry,Manual,56.6,2,No,Completed,3.6,Neutral,Staff did not trust the first suggestion.,v1.0
TASK-0083,2026-05-04,Odense,Citizen Services,Data Entry,Automated,16.4,1,No,Completed,3.0,Neutral,No error was found after review.,v1.1
TASK-0084,2026-05-07,Aarhus,Citizen Services,Data Entry,AI-assisted,24.4,3,Yes,Completed,2.3,Concerned,The automated step failed and required manual work.,v1.2
TASK-0085,2026-05-10,Copenhagen,Citizen Services,Document Check,Manual,35.5,2,No,Completed,3.6,Neutral,The result was clear and useful.,v1.0
TASK-0086,2026-05-13,Aalborg,HR,Document Check,Automated,20.6,6,Yes,Needs correction,1.5,Concerned,Human review caught an important error.,v1.1
TASK-0087,2026-05-16,Odense,HR,Document Check,AI-assisted,2.0,2,Yes,Completed,3.2,Neutral,The process was faster and staff felt positive.,v1.2
TASK-0088,2026-05-19,Aarhus,HR,Document Check,Manual,31.1,1,No,Completed,4.3,Positive,The tool was not suitable for this exception.,v1.0
TASK-0089,2026-05-22,Copenhagen,HR,Scheduling,Automated,20.0,2,Yes,Completed,3.3,Neutral,The task was faster but still needed human review.,v1.1
TASK-0090,2026-05-25,Aalborg,HR,Scheduling,AI-assisted,36.4,1,Yes,Completed,4.2,Positive,Staff did not trust the first suggestion.,v1.2
TASK-0091,2026-05-01,Odense,Procurement,Scheduling,Automated,34.2,2,Yes,Completed,3.7,Neutral,No error was found after review.,v1.0
TASK-0092,2026-05-04,Aarhus,Procurement,Scheduling,AI-assisted,26.7,1,Yes,Completed,3.7,Neutral,The automated step failed and required manual work.,v1.1
TASK-0093,2026-05-07,Copenhagen,Procurement,Status Update,Manual,38.0,1,No,Completed,3.6,Neutral,The result was clear and useful.,v1.2
TASK-0094,2026-05-10,Aalborg,Procurement,Status Update,Automated,2.4,1,Yes,Completed,3.8,Neutral,Human review caught an important error.,v1.0
TASK-0095,2026-05-13,Odense,Procurement,Status Update,AI-assisted,34.1,2,Yes,Completed,3.1,Neutral,The process was faster and staff felt positive.,v1.1
TASK-0096,2026-05-16,Aarhus,Communications,Status Update,Manual,55.7,3,No,Completed,3.0,Neutral,The tool was not suitable for this exception.,v1.2
TASK-0097,2026-05-19,Copenhagen,Communications,Email Triage,Automated,12.7,4,No,Needs correction,1.9,Concerned,The task was faster but still needed human review.,v1.0
TASK-0098,2026-05-22,Aalborg,Communications,Email Triage,AI-assisted,33.6,5,Yes,Needs correction,1.9,Concerned,Staff did not trust the first suggestion.,v1.1
TASK-0099,2026-05-25,Odense,Communications,Email Triage,Manual,47.4,3,No,Completed,3.1,Neutral,No error was found after review.,v1.2
TASK-0100,2026-05-01,Aarhus,Communications,Email Triage,AI-assisted,24.3,4,No,Needs correction,2.1,Concerned,The automated step failed and required manual work.,v1.0
TASK-0101,2026-06-04,Copenhagen,Finance,Data Entry,Manual,47.4,3,No,Completed,2.7,Concerned,The result was clear and useful.,v1.1
TASK-0102,2026-06-07,Aalborg,Finance,Data Entry,Automated,14.6,0,Yes,Completed,4.6,Positive,Human review caught an important error.,v1.2
TASK-0103,2026-06-10,Odense,Finance,Data Entry,AI-assisted,30.0,0,Yes,Completed,5.0,Positive,The process was faster and staff felt positive.,v1.0
TASK-0104,2026-06-13,Aarhus,Finance,Data Entry,Manual,48.8,1,No,Completed,4.1,Positive,The tool was not suitable for this exception.,v1.1
TASK-0105,2026-06-16,Copenhagen,Finance,Document Check,Automated,20.1,1,Yes,Completed,3.5,Neutral,The task was faster but still needed human review.,v1.2
TASK-0106,2026-06-19,Aalborg,Citizen Services,Document Check,AI-assisted,12.8,2,Yes,Completed,3.1,Neutral,Staff did not trust the first suggestion.,v1.0
TASK-0107,2026-06-22,Odense,Citizen Services,Document Check,Manual,80.7,3,No,Completed,2.5,Concerned,No error was found after review.,v1.1
TASK-0108,2026-06-25,Aarhus,Citizen Services,Document Check,Automated,14.8,4,Yes,Needs correction,2.8,Concerned,The automated step failed and required manual work.,v1.2
TASK-0109,2026-06-01,Copenhagen,Citizen Services,Scheduling,Manual,39.3,4,No,Needs correction,2.4,Concerned,The result was clear and useful.,v1.0
TASK-0110,2026-06-04,Aalborg,Citizen Services,Scheduling,Automated,25.0,4,Yes,Needs correction,1.7,Concerned,Human review caught an important error.,v1.1
TASK-0111,2026-06-07,Odense,HR,Scheduling,AI-assisted,20.5,1,No,Completed,4.1,Positive,The process was faster and staff felt positive.,v1.2
TASK-0112,2026-06-10,Aarhus,HR,Scheduling,Manual,56.9,0,No,Completed,4.7,Positive,The tool was not suitable for this exception.,v1.0
TASK-0113,2026-06-13,Copenhagen,HR,Status Update,Automated,25.2,3,No,Completed,3.5,Neutral,The task was faster but still needed human review.,v1.1
TASK-0114,2026-06-16,Aalborg,HR,Status Update,AI-assisted,33.1,4,Yes,Needs correction,2.4,Concerned,Staff did not trust the first suggestion.,v1.2
TASK-0115,2026-06-19,Odense,HR,Status Update,Manual,30.1,3,No,Completed,2.7,Concerned,No error was found after review.,v1.0
TASK-0116,2026-06-22,Aarhus,Procurement,Status Update,Automated,36.3,3,Yes,Completed,2.4,Concerned,The automated step failed and required manual work.,v1.1
TASK-0117,2026-06-25,Copenhagen,Procurement,Email Triage,AI-assisted,30.5,0,Yes,Completed,4.7,Positive,The result was clear and useful.,v1.2
TASK-0118,2026-06-01,Aalborg,Procurement,Email Triage,Automated,15.6,1,Yes,Completed,4.2,Positive,Human review caught an important error.,v1.0
TASK-0119,2026-06-04,Odense,Procurement,Email Triage,AI-assisted,36.5,2,No,Completed,3.5,Neutral,The process was faster and staff felt positive.,v1.1
TASK-0120,2026-06-07,Aarhus,Procurement,Email Triage,Manual,45.2,2,No,Completed,3.4,Neutral,The tool was not suitable for this exception.,v1.2
TASK-0121,2026-01-10,Copenhagen,Communications,Data Entry,Automated,24.8,4,Yes,Needs correction,2.0,Concerned,The task was faster but still needed human review.,v1.0
TASK-0122,2026-01-13,Aalborg,Communications,Data Entry,AI-assisted,33.9,0,Yes,Completed,3.9,Neutral,Staff did not trust the first suggestion.,v1.1
TASK-0123,2026-01-16,Odense,Communications,Data Entry,Manual,43.8,1,No,Completed,3.6,Neutral,No error was found after review.,v1.2
TASK-0124,2026-01-19,Aarhus,Communications,Data Entry,Automated,4.8,2,No,Completed,4.1,Positive,The automated step failed and required manual work.,v1.0
TASK-0125,2026-01-22,Copenhagen,Communications,Document Check,AI-assisted,27.0,2,No,Completed,3.5,Neutral,The result was clear and useful.,v1.1
TASK-0126,2026-01-25,Aalborg,Finance,Document Check,Manual,32.9,0,No,Completed,4.3,Positive,Human review caught an important error.,v1.2
TASK-0127,2026-01-01,Odense,Finance,Document Check,AI-assisted,13.1,2,Yes,Completed,3.5,Neutral,The process was faster and staff felt positive.,v1.0
TASK-0128,2026-01-04,Aarhus,Finance,Document Check,Manual,53.2,1,No,Completed,3.5,Neutral,The tool was not suitable for this exception.,v1.1
TASK-0129,2026-01-07,Copenhagen,Finance,Scheduling,Automated,11.1,2,Yes,Completed,3.5,Neutral,The task was faster but still needed human review.,v1.2
TASK-0130,2026-01-10,Aalborg,Finance,Scheduling,AI-assisted,24.5,0,Yes,Completed,5.0,Positive,Staff did not trust the first suggestion.,v1.0
TASK-0131,2026-01-13,Odense,Citizen Services,Scheduling,Manual,43.8,0,No,Completed,3.9,Neutral,No error was found after review.,v1.1
TASK-0132,2026-01-16,Aarhus,Citizen Services,Scheduling,Automated,4.3,0,Yes,Completed,4.2,Positive,The automated step failed and required manual work.,v1.2
TASK-0133,2026-01-19,Copenhagen,Citizen Services,Status Update,AI-assisted,32.4,3,Yes,Completed,3.8,Neutral,The result was clear and useful.,v1.0
TASK-0134,2026-01-22,Aalborg,Citizen Services,Status Update,Manual,56.7,1,No,Completed,3.8,Neutral,Human review caught an important error.,v1.1
TASK-0135,2026-01-25,Odense,Citizen Services,Status Update,Automated,27.8,4,Yes,Needs correction,2.5,Concerned,The process was faster and staff felt positive.,v1.2
TASK-0136,2026-01-01,Aarhus,HR,Status Update,Manual,57.5,0,No,Completed,4.4,Positive,The tool was not suitable for this exception.,v1.0
TASK-0137,2026-01-04,Copenhagen,HR,Email Triage,Automated,31.7,3,Yes,Completed,3.1,Neutral,The task was faster but still needed human review.,v1.1
TASK-0138,2026-01-07,Aalborg,HR,Email Triage,AI-assisted,30.8,2,No,Completed,3.6,Neutral,Staff did not trust the first suggestion.,v1.2
TASK-0139,2026-01-10,Odense,HR,Email Triage,Manual,53.0,0,No,Completed,4.3,Positive,No error was found after review.,v1.0
TASK-0140,2026-01-13,Aarhus,HR,Email Triage,Automated,2.0,1,Yes,Completed,4.2,Positive,The automated step failed and required manual work.,v1.1
TASK-0141,2026-02-16,Copenhagen,Procurement,Data Entry,AI-assisted,32.5,2,Yes,Completed,2.9,Concerned,The result was clear and useful.,v1.2
TASK-0142,2026-02-19,Aalborg,Procurement,Data Entry,Manual,45.3,0,No,Completed,4.3,Positive,Human review caught an important error.,v1.0
TASK-0143,2026-02-22,Odense,Procurement,Data Entry,Automated,19.8,2,No,Completed,3.0,Neutral,The process was faster and staff felt positive.,v1.1
TASK-0144,2026-02-25,Aarhus,Procurement,Data Entry,AI-assisted,32.6,3,Yes,Completed,2.8,Concerned,The tool was not suitable for this exception.,v1.2
TASK-0145,2026-02-01,Copenhagen,Procurement,Document Check,Automated,10.6,0,No,Completed,3.7,Neutral,The task was faster but still needed human review.,v1.0
TASK-0146,2026-02-04,Aalborg,Communications,Document Check,AI-assisted,25.5,3,No,Completed,2.7,Concerned,Staff did not trust the first suggestion.,v1.1
TASK-0147,2026-02-07,Odense,Communications,Document Check,Manual,61.3,3,No,Completed,3.0,Neutral,No error was found after review.,v1.2
TASK-0148,2026-02-10,Aarhus,Communications,Document Check,Automated,2.0,3,Yes,Completed,2.5,Concerned,The automated step failed and required manual work.,v1.0
TASK-0149,2026-02-13,Copenhagen,Communications,Scheduling,AI-assisted,33.1,4,Yes,Needs correction,2.2,Concerned,The result was clear and useful.,v1.1
TASK-0150,2026-02-16,Aalborg,Communications,Scheduling,Manual,44.8,1,No,Completed,4.0,Positive,Human review caught an important error.,v1.2
TASK-0151,2026-02-19,Odense,Finance,Scheduling,Automated,15.0,0,No,Completed,5.0,Positive,The process was faster and staff felt positive.,v1.0
TASK-0152,2026-02-22,Aarhus,Finance,Scheduling,AI-assisted,37.9,2,Yes,Completed,3.6,Neutral,The tool was not suitable for this exception.,v1.1
TASK-0153,2026-02-25,Copenhagen,Finance,Status Update,Manual,37.1,4,No,Needs correction,2.4,Concerned,The task was faster but still needed human review.,v1.2
TASK-0154,2026-02-01,Aalborg,Finance,Status Update,AI-assisted,26.5,0,Yes,Completed,4.3,Positive,Staff did not trust the first suggestion.,v1.0
TASK-0155,2026-02-04,Odense,Finance,Status Update,Manual,40.9,0,No,Completed,3.8,Neutral,No error was found after review.,v1.1
TASK-0156,2026-02-07,Aarhus,Citizen Services,Status Update,Automated,29.4,1,Yes,Completed,4.6,Positive,The automated step failed and required manual work.,v1.2
TASK-0157,2026-02-10,Copenhagen,Citizen Services,Email Triage,AI-assisted,21.9,3,Yes,Completed,3.4,Neutral,The result was clear and useful.,v1.0
TASK-0158,2026-02-13,Aalborg,Citizen Services,Email Triage,Manual,36.0,4,No,Needs correction,2.1,Concerned,Human review caught an important error.,v1.1
TASK-0159,2026-02-16,Odense,Citizen Services,Email Triage,Automated,10.6,3,No,Completed,3.3,Neutral,The process was faster and staff felt positive.,v1.2
TASK-0160,2026-02-19,Aarhus,Citizen Services,Email Triage,AI-assisted,28.5,1,Yes,Completed,4.0,Positive,The tool was not suitable for this exception.,v1.0
TASK-0161,2026-03-22,Copenhagen,HR,Data Entry,Manual,42.1,2,No,Completed,3.6,Neutral,The task was faster but still needed human review.,v1.1
TASK-0162,2026-03-25,Aalborg,HR,Data Entry,Automated,9.6,3,Yes,Completed,3.3,Neutral,Staff did not trust the first suggestion.,v1.2
TASK-0163,2026-03-01,Odense,HR,Data Entry,Manual,35.1,0,No,Completed,5.0,Positive,No error was found after review.,v1.0
TASK-0164,2026-03-04,Aarhus,HR,Data Entry,Automated,2.0,3,Yes,Completed,2.9,Concerned,The automated step failed and required manual work.,v1.1
TASK-0165,2026-03-07,Copenhagen,HR,Document Check,AI-assisted,35.2,3,No,Completed,2.3,Concerned,The result was clear and useful.,v1.2
TASK-0166,2026-03-10,Aalborg,Procurement,Document Check,Manual,34.8,3,No,Completed,3.0,Neutral,Human review caught an important error.,v1.0
TASK-0167,2026-03-13,Odense,Procurement,Document Check,Automated,20.3,0,Yes,Completed,4.1,Positive,The process was faster and staff felt positive.,v1.1
TASK-0168,2026-03-16,Aarhus,Procurement,Document Check,AI-assisted,33.6,1,Yes,Completed,3.8,Neutral,The tool was not suitable for this exception.,v1.2
TASK-0169,2026-03-19,Copenhagen,Procurement,Scheduling,Manual,36.1,2,No,Completed,3.3,Neutral,The task was faster but still needed human review.,v1.0
TASK-0170,2026-03-22,Aalborg,Procurement,Scheduling,Automated,2.0,2,No,Completed,3.1,Neutral,Staff did not trust the first suggestion.,v1.1
TASK-0171,2026-03-25,Odense,Communications,Scheduling,AI-assisted,19.7,3,No,Completed,2.3,Concerned,No error was found after review.,v1.2
TASK-0172,2026-03-01,Aarhus,Communications,Scheduling,Automated,18.0,3,Yes,Completed,2.8,Concerned,The automated step failed and required manual work.,v1.0
TASK-0173,2026-03-04,Copenhagen,Communications,Status Update,AI-assisted,21.1,3,Yes,Completed,3.8,Neutral,The result was clear and useful.,v1.1
TASK-0174,2026-03-07,Aalborg,Communications,Status Update,Manual,46.8,0,No,Completed,4.8,Positive,Human review caught an important error.,v1.2
TASK-0175,2026-03-10,Odense,Communications,Status Update,Automated,24.0,2,Yes,Completed,3.6,Neutral,The process was faster and staff felt positive.,v1.0
TASK-0176,2026-03-13,Aarhus,Finance,Status Update,AI-assisted,28.4,1,Yes,Completed,4.1,Positive,The tool was not suitable for this exception.,v1.1
TASK-0177,2026-03-16,Copenhagen,Finance,Email Triage,Manual,40.2,0,No,Completed,3.4,Neutral,The task was faster but still needed human review.,v1.2
TASK-0178,2026-03-19,Aalborg,Finance,Email Triage,Automated,35.4,2,No,Completed,3.0,Neutral,Staff did not trust the first suggestion.,v1.0
TASK-0179,2026-03-22,Odense,Finance,Email Triage,AI-assisted,45.8,1,No,Completed,4.2,Positive,No error was found after review.,v1.1
TASK-0180,2026-03-25,Aarhus,Finance,Email Triage,Manual,47.1,0,No,Completed,3.6,Neutral,The automated step failed and required manual work.,v1.2
TASK-0181,2026-04-01,Copenhagen,Citizen Services,Data Entry,AI-assisted,27.2,2,No,Completed,3.2,Neutral,The result was clear and useful.,v1.0
TASK-0182,2026-04-04,Aalborg,Citizen Services,Data Entry,Manual,45.4,0,No,Completed,3.9,Neutral,Human review caught an important error.,v1.1
TASK-0183,2026-04-07,Odense,Citizen Services,Data Entry,Automated,38.8,3,Yes,Completed,3.1,Neutral,The process was faster and staff felt positive.,v1.2
TASK-0184,2026-04-10,Aarhus,Citizen Services,Data Entry,AI-assisted,21.0,3,Yes,Completed,3.2,Neutral,The tool was not suitable for this exception.,v1.0
TASK-0185,2026-04-13,Copenhagen,Citizen Services,Document Check,Manual,30.0,1,No,Completed,4.3,Positive,The task was faster but still needed human review.,v1.1
TASK-0186,2026-04-16,Aalborg,HR,Document Check,Automated,10.2,2,No,Completed,4.3,Positive,Staff did not trust the first suggestion.,v1.2
TASK-0187,2026-04-19,Odense,HR,Document Check,AI-assisted,38.2,1,No,Completed,3.4,Neutral,No error was found after review.,v1.0
