request_id,city,service_type,channel,opened_date,closed_date,status,priority,resolution_hours,satisfaction_score,repeat_contact,feedback
REQ-0115,Odense,Parking,Phone,2026-06-16,2026-06-16,Closed,Low,17.6,4.3,Yes,The form was difficult but staff were helpful.
REQ-0116,Aarhus,Parking,In Person,2026-06-23,2026-06-24,Closed,Normal,42.3,2.8,Yes,Quick response and clear information.
REQ-0117,Copenhagen,Family Support,Digital,2026-06-03,2026-06-03,Closed,High,8.8,5.0,Yes,I could not understand the online instructions.
REQ-0118,Aalborg,Family Support,Phone,2026-06-10,,Open,Low,29.3,3.1,Yes,Friendly service but the process was slow.
REQ-0119,Odense,Family Support,In Person,2026-06-17,2026-06-19,Closed,Normal,64.1,1.2,Yes,No problem after the staff explained the next step.
REQ-0120,Aarhus,Family Support,Phone,2026-06-24,2026-06-25,Closed,High,30.0,3.5,Yes,The issue was resolved quickly.
REQ-0121,Copenhagen,Housing Advice,In Person,2026-01-04,2026-01-05,Closed,Low,37.0,2.6,No,The guidance was clear and helpful.
REQ-0122,Aalborg,Housing Advice,Digital,2026-01-11,2026-01-12,Closed,Normal,34.0,3.7,No,The wait was not long.
REQ-0123,Odense,Housing Advice,Phone,2026-01-18,2026-01-19,Closed,High,26.9,3.3,No,The form was difficult but staff were helpful.
REQ-0124,Aarhus,Housing Advice,In Person,2026-01-25,2026-01-26,Closed,Low,42.8,2.2,Yes,Quick response and clear information.
REQ-0125,Copenhagen,Waste Collection,Digital,2026-01-05,2026-01-05,Closed,Normal,13.5,3.6,No,I could not understand the online instructions.
REQ-0126,Aalborg,Waste Collection,Phone,2026-01-12,2026-01-13,Closed,High,26.8,3.6,No,Friendly service but the process was slow.
REQ-0127,Odense,Waste Collection,Digital,2026-01-19,,Open,Low,11.8,3.8,No,No problem after the staff explained the next step.
REQ-0128,Aarhus,Waste Collection,Phone,2026-01-26,2026-01-26,Closed,Normal,19.1,4.8,No,The issue was resolved quickly.
REQ-0129,Copenhagen,Citizen ID,In Person,2026-01-06,2026-01-07,Closed,High,35.6,3.5,No,The guidance was clear and helpful.
REQ-0130,Aalborg,Citizen ID,Digital,2026-01-13,2026-01-14,Closed,Low,24.5,3.4,No,The wait was not long.
REQ-0131,Odense,Citizen ID,Phone,2026-01-20,2026-01-21,Closed,Normal,30.1,3.6,No,The form was difficult but staff were helpful.
REQ-0132,Aarhus,Citizen ID,In Person,2026-01-27,2026-01-27,Closed,High,18.4,4.3,No,Quick response and clear information.
REQ-0133,Copenhagen,Parking,Digital,2026-01-07,2026-01-08,Closed,Low,41.5,2.0,No,I could not understand the online instructions.
REQ-0134,Aalborg,Parking,In Person,2026-01-14,2026-01-15,Closed,Normal,44.9,2.8,Yes,Friendly service but the process was slow.
REQ-0135,Odense,Parking,Digital,2026-01-21,2026-01-21,Closed,High,5.2,3.6,No,No problem after the staff explained the next step.
REQ-0136,Aarhus,Parking,Phone,2026-01-01,,Open,Low,27.5,3.6,No,The issue was resolved quickly.
REQ-0137,Copenhagen,Family Support,In Person,2026-01-08,2026-01-09,Closed,Normal,29.4,3.4,Yes,The guidance was clear and helpful.
REQ-0138,Aalborg,Family Support,Digital,2026-01-15,2026-01-15,Closed,High,20.9,2.8,No,The wait was not long.
REQ-0139,Odense,Family Support,Phone,2026-01-22,2026-01-22,Closed,Low,20.5,3.5,No,The form was difficult but staff were helpful.
REQ-0140,Aarhus,Family Support,In Person,2026-01-02,2026-01-03,Closed,Normal,43.6,2.4,Yes,Quick response and clear information.
REQ-0141,Copenhagen,Housing Advice,Phone,2026-02-09,2026-02-09,Closed,High,9.6,4.3,No,I could not understand the online instructions.
REQ-0142,Aalborg,Housing Advice,In Person,2026-02-16,2026-02-17,Closed,Low,25.9,3.3,No,Friendly service but the process was slow.
REQ-0143,Odense,Housing Advice,Digital,2026-02-23,2026-02-23,Closed,Normal,18.5,4.0,No,No problem after the staff explained the next step.
REQ-0144,Aarhus,Housing Advice,Phone,2026-02-03,2026-02-03,Closed,High,21.8,3.7,No,The issue was resolved quickly.
REQ-0145,Copenhagen,Waste Collection,In Person,2026-02-10,,Open,Low,48.2,2.2,Yes,The guidance was clear and helpful.
REQ-0146,Aalborg,Waste Collection,Digital,2026-02-17,2026-02-17,Closed,Normal,10.8,4.3,No,The wait was not long.
REQ-0147,Odense,Waste Collection,Phone,2026-02-24,2026-02-25,Closed,High,27.2,4.4,No,The form was difficult but staff were helpful.
REQ-0148,Aarhus,Waste Collection,Digital,2026-02-04,2026-02-05,Closed,Low,26.2,3.1,No,Quick response and clear information.
REQ-0149,Copenhagen,Citizen ID,Phone,2026-02-11,2026-02-12,Closed,Normal,28.1,3.9,No,I could not understand the online instructions.
REQ-0150,Aalborg,Citizen ID,In Person,2026-02-18,2026-02-19,Closed,High,44.8,2.8,Yes,Friendly service but the process was slow.
REQ-0151,Odense,Citizen ID,Digital,2026-02-25,2026-02-25,Closed,Low,9.2,4.3,Yes,No problem after the staff explained the next step.
REQ-0152,Aarhus,Citizen ID,Phone,2026-02-05,2026-02-06,Closed,Normal,43.8,2.8,No,The issue was resolved quickly.
REQ-0153,Copenhagen,Parking,In Person,2026-02-12,2026-02-13,Closed,High,25.4,3.0,Yes,The guidance was clear and helpful.
REQ-0154,Aalborg,Parking,Digital,2026-02-19,,Open,Low,21.4,3.4,No,The wait was not long.
REQ-0155,Odense,Parking,In Person,2026-02-26,2026-02-27,Closed,Normal,25.2,4.0,No,The form was difficult but staff were helpful.
REQ-0156,Aarhus,Parking,Digital,2026-02-06,2026-02-07,Closed,High,41.0,3.2,No,Quick response and clear information.
REQ-0157,Copenhagen,Family Support,Phone,2026-02-13,2026-02-14,Closed,Low,31.8,3.8,No,I could not understand the online instructions.
REQ-0158,Aalborg,Family Support,In Person,2026-02-20,2026-02-22,Closed,Normal,56.4,1.7,Yes,Friendly service but the process was slow.
REQ-0159,Odense,Family Support,Digital,2026-02-27,2026-02-27,Closed,High,5.9,4.7,No,No problem after the staff explained the next step.
REQ-0160,Aarhus,Family Support,Phone,2026-02-07,2026-02-07,Closed,Low,16.0,3.6,No,The issue was resolved quickly.
REQ-0161,Copenhagen,Housing Advice,In Person,2026-03-14,2026-03-15,Closed,Normal,46.9,2.8,Yes,The guidance was clear and helpful.
REQ-0162,Aalborg,Housing Advice,Phone,2026-03-21,2026-03-21,Closed,High,21.8,3.6,Yes,The wait was not long.
REQ-0163,Odense,Housing Advice,In Person,2026-03-01,,Open,Low,19.2,4.5,No,The form was difficult but staff were helpful.
REQ-0164,Aarhus,Housing Advice,Digital,2026-03-08,2026-03-08,Closed,Normal,13.3,5.0,No,Quick response and clear information.
REQ-0165,Copenhagen,Waste Collection,Phone,2026-03-15,2026-03-15,Closed,High,11.3,4.1,No,I could not understand the online instructions.
REQ-0166,Aalborg,Waste Collection,In Person,2026-03-22,2026-03-23,Closed,Low,24.4,2.5,No,Friendly service but the process was slow.
REQ-0167,Odense,Waste Collection,Digital,2026-03-02,2026-03-02,Closed,Normal,23.4,4.0,No,No problem after the staff explained the next step.
REQ-0168,Aarhus,Waste Collection,Phone,2026-03-09,2026-03-10,Closed,High,43.5,2.6,Yes,The issue was resolved quickly.
REQ-0169,Copenhagen,Citizen ID,Digital,2026-03-16,2026-03-17,Closed,Low,33.5,3.6,No,The guidance was clear and helpful.
REQ-0170,Aalborg,Citizen ID,Phone,2026-03-23,2026-03-24,Closed,Normal,34.7,3.7,Yes,The wait was not long.
REQ-0171,Odense,Citizen ID,In Person,2026-03-03,2026-03-05,Closed,High,49.2,2.4,Yes,The form was difficult but staff were helpful.
REQ-0172,Aarhus,Citizen ID,Digital,2026-03-10,,Open,Low,23.7,4.2,Yes,Quick response and clear information.
REQ-0173,Copenhagen,Parking,Phone,2026-03-17,2026-03-18,Closed,Normal,41.1,3.1,No,I could not understand the online instructions.
REQ-0174,Aalborg,Parking,In Person,2026-03-24,2026-03-25,Closed,High,40.9,2.9,Yes,Friendly service but the process was slow.
REQ-0175,Odense,Parking,Digital,2026-03-04,2026-03-04,Closed,Low,5.0,5.0,No,No problem after the staff explained the next step.
REQ-0176,Aarhus,Parking,In Person,2026-03-11,2026-03-12,Closed,Normal,39.7,3.0,No,The issue was resolved quickly.
REQ-0177,Copenhagen,Family Support,Digital,2026-03-18,2026-03-18,Closed,High,21.9,2.9,No,The guidance was clear and helpful.
REQ-0178,Aalborg,Family Support,Phone,2026-03-25,2026-03-25,Closed,Low,21.7,4.6,No,The wait was not long.
REQ-0179,Odense,Family Support,In Person,2026-03-05,2026-03-06,Closed,Normal,30.0,3.6,No,The form was difficult but staff were helpful.
REQ-0180,Aarhus,Family Support,Digital,2026-03-12,2026-03-13,Closed,High,31.1,3.2,No,Quick response and clear information.
REQ-0181,Copenhagen,Housing Advice,Phone,2026-04-19,,Open,Low,18.7,3.7,No,I could not understand the online instructions.
REQ-0182,Aalborg,Housing Advice,In Person,2026-04-26,2026-04-27,Closed,Normal,27.7,3.6,No,Friendly service but the process was slow.
REQ-0183,Odense,Housing Advice,Phone,2026-04-06,2026-04-06,Closed,High,14.0,4.9,No,No problem after the staff explained the next step.
REQ-0184,Aarhus,Housing Advice,In Person,2026-04-13,2026-04-14,Closed,Low,27.2,3.1,Yes,The issue was resolved quickly.
REQ-0185,Copenhagen,Waste Collection,Digital,2026-04-20,2026-04-20,Closed,Normal,19.3,3.6,No,The guidance was clear and helpful.
REQ-0186,Aalborg,Waste Collection,Phone,2026-04-27,2026-04-28,Closed,High,30.8,3.5,No,The wait was not long.
REQ-0187,Odense,Waste Collection,In Person,2026-04-07,2026-04-08,Closed,Low,37.7,2.0,No,The form was difficult but staff were helpful.
REQ-0188,Aarhus,Waste Collection,Digital,2026-04-14,2026-04-14,Closed,Normal,11.2,5.0,No,Quick response and clear information.
REQ-0189,Copenhagen,Citizen ID,Phone,2026-04-21,2026-04-21,Closed,High,20.9,3.9,No,I could not understand the online instructions.
REQ-0190,Aalborg,Citizen ID,Digital,2026-04-01,,Open,Low,38.6,3.6,No,Friendly service but the process was slow.
REQ-0191,Odense,Citizen ID,Phone,2026-04-08,2026-04-08,Closed,Normal,22.9,3.9,No,No problem after the staff explained the next step.
REQ-0192,Aarhus,Citizen ID,In Person,2026-04-15,2026-04-16,Closed,High,44.9,1.8,No,The issue was resolved quickly.
REQ-0193,Copenhagen,Parking,Digital,2026-04-22,2026-04-22,Closed,Low,3.2,5.0,No,The guidance was clear and helpful.
REQ-0194,Aalborg,Parking,Phone,2026-04-02,2026-04-03,Closed,Normal,40.0,2.6,No,The wait was not long.
REQ-0195,Odense,Parking,In Person,2026-04-09,2026-04-09,Closed,High,22.2,4.2,No,The form was difficult but staff were helpful.
REQ-0196,Aarhus,Parking,Digital,2026-04-16,2026-04-16,Closed,Low,23.1,3.7,No,Quick response and clear information.
REQ-0197,Copenhagen,Family Support,In Person,2026-04-23,2026-04-23,Closed,Normal,18.0,4.7,No,I could not understand the online instructions.
REQ-0198,Aalborg,Family Support,Digital,2026-04-03,2026-04-03,Closed,High,4.9,5.0,No,Friendly service but the process was slow.
REQ-0199,Odense,Family Support,Phone,2026-04-10,,Open,Low,22.9,4.2,No,No problem after the staff explained the next step.
REQ-0200,Aarhus,Family Support,In Person,2026-04-17,2026-04-17,Closed,Normal,16.8,4.9,Yes,The issue was resolved quickly.
REQ-0201,Copenhagen,Housing Advice,Digital,2026-05-24,2026-05-24,Closed,High,13.3,4.8,No,The guidance was clear and helpful.
REQ-0202,Aalborg,Housing Advice,Phone,2026-05-04,2026-05-04,Closed,Low,8.7,4.3,No,The wait was not long.
REQ-0203,Odense,Housing Advice,In Person,2026-05-11,2026-05-12,Closed,Normal,38.2,3.4,No,The form was difficult but staff were helpful.
REQ-0204,Aarhus,Housing Advice,Phone,2026-05-18,2026-05-19,Closed,High,33.4,3.2,Yes,Quick response and clear information.
REQ-0205,Copenhagen,Waste Collection,In Person,2026-05-25,2026-05-25,Closed,Low,18.3,3.3,No,I could not understand the online instructions.
REQ-0206,Aalborg,Waste Collection,Digital,2026-05-05,2026-05-06,Closed,Normal,34.8,3.3,No,Friendly service but the process was slow.
REQ-0207,Odense,Waste Collection,Phone,2026-05-12,2026-05-13,Closed,High,29.1,2.7,Yes,No problem after the staff explained the next step.
REQ-0208,Aarhus,Waste Collection,In Person,2026-05-19,,Open,Low,11.4,5.0,No,The issue was resolved quickly.
REQ-0209,Copenhagen,Citizen ID,Digital,2026-05-26,2026-05-26,Closed,Normal,16.2,3.5,No,The guidance was clear and helpful.
REQ-0210,Aalborg,Citizen ID,Phone,2026-05-06,2026-05-06,Closed,High,21.8,4.0,No,The wait was not long.
REQ-0211,Odense,Citizen ID,Digital,2026-05-13,2026-05-14,Closed,Low,25.3,3.2,No,The form was difficult but staff were helpful.
