session_id,session_date,city,centre,support_topic,age_band,access_mode,wait_minutes,session_minutes,resolved,follow_up_needed,satisfaction_score,staff_role,resolved_clean,follow_up_needed_clean,session_date_clean,report_month,wait_minutes_clean,session_minutes_clean,satisfaction_score_clean,flag_invalid_wait,flag_invalid_duration,flag_invalid_satisfaction,flag_invalid_date,flag_followup_contradiction,flag_repeated_id,notes_raw,notes_clean
SES-0015,2026-01-17,Odense,Mobile Desk,Job Portal,45–59,Own device,7.7,10.7,Yes,No,5.0,Librarian,Yes,No,2026-01-17,2026-01,7.7,10.7,5.0,No,No,No,No,No,No,,
SES-0016,2026-01-22,Aarhus,Mobile Desk,Health Booking,60+,Centre device,31.6,26.1,Yes,No,3.3,Volunteer,Yes,No,2026-01-22,2026-01,31.6,26.1,3.3,No,No,No,No,No,Yes,No follow-up needed after the session.,no follow up needed after session
SES-0016,2026-01-27,Copenhagen,Library Hub,Health Booking,18–29,Phone support,9.8,57.7,No,No,4.1,Advisor,No,No,2026-01-27,2026-01,9.8,57.7,4.1,No,No,No,No,No,Yes,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0018,2026-01-05,Aalborg,Library Hub,Health Booking,30–44,Own device,8.2,44.9,Yes,No,4.4,Librarian,Yes,No,2026-01-05,2026-01,8.2,44.9,4.4,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0019,2026-02-10,Odense,Library Hub,Health Booking,45–59,Centre device,26.6,59.3,Yes,No,2.6,Volunteer,Yes,No,2026-02-10,2026-02,26.6,59.3,2.6,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0020,2026-02-15,Aarhus,Library Hub,Health Booking,60+,Phone support,11.2,43.5,Yes,No,3.6,Advisor,Yes,No,2026-02-15,2026-02,11.2,43.5,3.6,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0021,2026-02-20,Copenhagen,Citizen Centre,Email & Documents,18–29,Own device,4.0,34.8,Yes,No,5.0,Librarian,Yes,No,2026-02-20,2026-02,4.0,34.8,5.0,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0022,2026-02-25,Aalborg,Citizen Centre,Email & Documents,30–44,Centre device,14.1,29.7,Yes,No,2.8,Volunteer,Yes,No,2026-02-25,2026-02,14.1,29.7,2.8,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0023,2026-02-03,Odense,Citizen Centre,Email & Documents,45–59,Own device,0.0,29.9,No,Yes,4.2,Advisor,No,Yes,2026-02-03,2026-02,0.0,29.9,4.2,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0024,2026-02-08,Aarhus,Citizen Centre,Email & Documents,60+,Centre device,8.6,69.6,No,Yes,4.3,Librarian,No,Yes,2026-02-08,2026-02,8.6,69.6,4.3,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0025,2026-02-13,Copenhagen,Community Lab,Email & Documents,18–29,Phone support,9.2,45.0,Yes,No,4.3,Volunteer,Yes,No,2026-02-13,2026-02,9.2,45.0,4.3,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0026,2026-02-18,Aalborg,Community Lab,Digital ID,30–44,Own device,21.2,50.0,Yes,No,3.0,Advisor,Yes,No,2026-02-18,2026-02,21.2,50.0,3.0,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0027,2026-02-23,Odense,Community Lab,Digital ID,45–59,Centre device,12.9,45.0,Yes,No,3.6,Librarian,Yes,No,2026-02-23,2026-02,12.9,45.0,3.6,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0028,2026-02-01,Aarhus,Community Lab,Digital ID,60+,Phone support,10.7,38.8,Yes,No,4.9,Volunteer,Yes,No,2026-02-01,2026-02,10.7,38.8,4.9,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0029,2026-02-06,Copenhagen,Mobile Desk,Digital ID,18–29,Own device,14.4,55.8,Yes,No,3.5,Advisor,Yes,No,2026-02-06,2026-02,14.4,55.8,3.5,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0030,2026-02-11,Aalborg,Mobile Desk,Digital ID,30–44,Centre device,14.2,43.3,Yes,No,3.8,Librarian,Yes,No,2026-02-11,2026-02,14.2,43.3,3.8,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0031,2026-02-16,Odense,Mobile Desk,Online Benefits,45–59,Phone support,26.5,36.1,Yes,No,3.6,Volunteer,Yes,No,2026-02-16,2026-02,26.5,36.1,3.6,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0032,2026-02-21,Aarhus,Mobile Desk,Online Benefits,60+,Own device,11.7,43.8,Yes,No,4.2,Advisor,Yes,No,2026-02-21,2026-02,11.7,43.8,4.2,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0033,2026-02-26,Copenhagen,Library Hub,Online Benefits,18–29,Centre device,12.7,29.2,Yes,No,4.0,Librarian,Yes,No,2026-02-26,2026-02,12.7,29.2,4.0,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0034,2026-02-04,Aalborg,Library Hub,Online Benefits,30–44,Own device,3.3,52.8,Yes,No,4.0,Volunteer,Yes,No,2026-02-04,2026-02,3.3,52.8,4.0,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0035,2026-02-09,Odense,Library Hub,Online Benefits,45–59,Centre device,8.6,58.7,Yes,No,3.9,Advisor,Yes,No,2026-02-09,2026-02,8.6,58.7,3.9,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0036,2026-02-14,Aarhus,Library Hub,Job Portal,60+,Phone support,9.6,41.2,No,Yes,3.5,Librarian,No,Yes,2026-02-14,2026-02,9.6,41.2,3.5,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0037,2026-03-19,Copenhagen,Citizen Centre,Job Portal,18–29,Own device,0.4,56.0,Yes,No,3.3,Volunteer,Yes,No,2026-03-19,2026-03,0.4,56.0,3.3,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0038,2026-03-24,Aalborg,Citizen Centre,Job Portal,30–44,Centre device,13.4,24.5,Yes,No,4.5,Advisor,Yes,No,2026-03-24,2026-03,13.4,24.5,4.5,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0039,2026-03-02,Odense,Citizen Centre,Job Portal,45–59,Phone support,9.3,68.9,Yes,No,3.2,Librarian,Yes,No,2026-03-02,2026-03,9.3,68.9,3.2,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0040,2026-03-07,Aarhus,Citizen Centre,Job Portal,60+,Own device,0.0,25.0,Yes,No,4.5,Volunteer,Yes,No,2026-03-07,2026-03,0.0,25.0,4.5,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0041,2026-03-12,Copenhagen,Community Lab,Health Booking,18–29,Centre device,7.4,45.0,No,No,4.8,Advisor,No,No,2026-03-12,2026-03,7.4,45.0,4.8,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0042,2026-03-17,Aalborg,Community Lab,Health Booking,30–44,Phone support,14.4,52.9,No,No,4.1,Librarian,No,No,2026-03-17,2026-03,14.4,52.9,4.1,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0043,2026-03-22,Odense,Community Lab,Health Booking,45–59,Own device,25.2,54.7,Yes,No,3.4,Volunteer,Yes,No,2026-03-22,2026-03,25.2,54.7,3.4,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0044,2026-03-27,Aarhus,Community Lab,Health Booking,60+,Centre device,10.5,52.5,Yes,No,4.6,Advisor,Yes,No,2026-03-27,2026-03,10.5,52.5,4.6,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0045,2026-03-05,Copenhagen,Mobile Desk,Health Booking,18–29,Centre device,7.8,24.3,Yes,No,4.9,Librarian,Yes,No,2026-03-05,2026-03,7.8,24.3,4.9,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0046,2026-03-10,Aalborg,Mobile Desk,Email & Documents,30–44,Centre device,19.0,27.6,Yes,No,4.3,Volunteer,Yes,No,2026-03-10,2026-03,19.0,27.6,4.3,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0047,2026-03-15,Odense,Mobile Desk,Email & Documents,45–59,Phone support,16.6,39.5,Yes,No,4.4,Advisor,Yes,No,2026-03-15,2026-03,16.6,39.5,4.4,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0048,2026-03-20,Aarhus,Mobile Desk,Email & Documents,60+,Own device,0.0,44.5,Yes,No,4.3,Librarian,Yes,No,2026-03-20,2026-03,0.0,44.5,4.3,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0049,2026-03-25,Copenhagen,Library Hub,Email & Documents,18–29,Centre device,18.0,40.3,Yes,No,4.0,Volunteer,Yes,No,2026-03-25,2026-03,18.0,40.3,4.0,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0050,2026-03-03,Aalborg,Library Hub,Email & Documents,30–44,Phone support,11.2,46.3,Yes,No,4.1,Advisor,Yes,No,2026-03-03,2026-03,11.2,46.3,4.1,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0051,2026-03-08,Odense,Library Hub,Digital ID,45–59,Own device,20.0,27.1,No,Yes,4.0,Librarian,No,Yes,2026-03-08,2026-03,20.0,27.1,4.0,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0052,2026-03-13,Aarhus,Library Hub,Digital ID,60+,Centre device,28.0,55.7,Yes,No,3.0,Volunteer,Yes,No,2026-03-13,2026-03,28.0,55.7,3.0,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0053,2026-03-18,Copenhagen,Citizen Centre,Digital ID,18–29,Phone support,4.0,40.4,Yes,No,4.3,Advisor,Yes,No,2026-03-18,2026-03,4.0,40.4,4.3,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0054,2026-03-23,Aalborg,Citizen Centre,Digital ID,30–44,Own device,17.0,52.8,Yes,No,3.5,Librarian,Yes,No,2026-03-23,2026-03,17.0,52.8,3.5,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0055,2026-04-01,Odense,Citizen Centre,Digital ID,45–59,Centre device,13.8,38.1,No,Yes,3.8,Volunteer,No,Yes,2026-04-01,2026-04,13.8,38.1,3.8,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0056,2026-04-06,Aarhus,Citizen Centre,Online Benefits,60+,Own device,5.1,47.3,resolved,No,4.6,Advisor,Yes,No,2026-04-06,2026-04,5.1,47.3,4.6,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0057,2026-04-11,Copenhagen,Community Lab,Online Benefits,18–29,Centre device,13.8,28.3,Yes,No,3.5,Librarian,Yes,No,2026-04-11,2026-04,13.8,28.3,3.5,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0058,2026-04-16,Aalborg,Community Lab,Online Benefits,30–44,Phone support,10.0,34.0,Yes,No,4.5,Volunteer,Yes,No,2026-04-16,2026-04,10.0,34.0,4.5,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0059,2026-04-21,Odense,Community Lab,Online Benefits,45–59,Own device,0.1,46.6,Yes,No,5.0,Advisor,Yes,No,2026-04-21,2026-04,0.1,46.6,5.0,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0060,2026-04-26,Aarhus,Community Lab,Online Benefits,60+,Centre device,14.1,40.3,Yes,No,3.9,Librarian,Yes,No,2026-04-26,2026-04,14.1,40.3,3.9,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0061,2026-04-04,Copenhagen,Mobile Desk,Job Portal,18–29,Phone support,17.6,21.7,Yes,No,3.6,Volunteer,Yes,No,2026-04-04,2026-04,17.6,21.7,3.6,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0062,2026-04-09,Aalborg,Mobile Desk,Job Portal,30–44,Own device,10.5,46.8,Yes,No,3.7,Advisor,Yes,No,2026-04-09,2026-04,10.5,46.8,3.7,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0063,2026-04-14,Odense,Mobile Desk,Job Portal,45–59,Centre device,16.8,66.6,Yes,No,4.4,Librarian,Yes,No,2026-04-14,2026-04,16.8,66.6,4.4,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0064,2026-04-19,Aarhus,Mobile Desk,Job Portal,60+,Phone support,10.0,23.8,Yes,No,4.0,Volunteer,Yes,No,2026-04-19,2026-04,10.0,23.8,4.0,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0065,2026-04-24,Copenhagen,Library Hub,Job Portal,18–29,Own device,2.8,57.9,Yes,No,4.6,Advisor,Yes,No,2026-04-24,2026-04,2.8,57.9,4.6,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0066,2026-04-02,Aalborg,Library Hub,Health Booking,30–44,Centre device,12.0,37.4,No,Yes,3.5,Librarian,No,Yes,2026-04-02,2026-04,12.0,37.4,3.5,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0067,2026-04-07,Odense,Library Hub,Health Booking,45–59,Own device,21.7,39.2,Yes,needed,4.1,Volunteer,Yes,Yes,2026-04-07,2026-04,21.7,39.2,4.1,No,No,No,No,Yes,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0068,2026-04-12,Aarhus,Library Hub,Health Booking,60+,Centre device,8.9,55.3,Yes,No,4.5,Advisor,Yes,No,2026-04-12,2026-04,8.9,55.3,4.5,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0069,2026-04-17,Copenhagen,Citizen Centre,Health Booking,18–29,Phone support,11.3,32.6,Yes,No,4.7,Librarian,Yes,No,2026-04-17,2026-04,11.3,32.6,4.7,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0070,2026-04-22,Aalborg,Citizen Centre,Health Booking,30–44,Own device,5.2,28.8,No,No,4.6,Volunteer,No,No,2026-04-22,2026-04,5.2,28.8,4.6,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0071,2026-13-01,Odense,Citizen Centre,Email & Documents,45–59,Centre device,12.6,45.0,No,No,3.4,Advisor,No,No,,,12.6,45.0,3.4,No,No,No,Yes,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0072,2026-04-05,Aarhus,Citizen Centre,Email & Documents,60+,Phone support,unknown,61.3,Yes,No,3.7,Librarian,Yes,No,2026-04-05,2026-04,,61.3,3.7,Yes,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0073,2026-05-10,Copenhagen,Community Lab,Email & Documents,18–29,Own device,-4,48.6,No,Yes,4.7,Volunteer,No,Yes,2026-05-10,2026-05,,48.6,4.7,Yes,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0074,2026-05-15,Aalborg,Community Lab,Email & Documents,30–44,Centre device,11.6,300.0,Yes,No,4.2,Advisor,Yes,No,2026-05-15,2026-05,11.6,,4.2,No,Yes,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0075,2026-05-20,Odense,Community Lab,Email & Documents,45–59,Phone support,12.2,43.4,Yes,No,0.0,Librarian,Yes,No,2026-05-20,2026-05,12.2,43.4,,No,No,Yes,No,No,No,The form was not easy to find.,form not easy find
SES-0076,2026-05-25,Aarhus,Community Lab,Digital ID,60+,Own device,0.0,70.0,Yes,Yes,4.0,Volunteer,Yes,Yes,2026-05-25,2026-05,0.0,70.0,4.0,No,No,No,No,Yes,No,No follow-up needed after the session.,no follow up needed after session
SES-0077,2026-05-03,Copenhagen,Mobile Desk,Digital ID,18–29,Centre device,19.4,39.0,Yes,No,3.1,Advisor,Yes,No,2026-05-03,2026-05,19.4,39.0,3.1,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0078,2026-05-08,Aalborg,Mobile Desk,Digital ID,30–44,Own device,11.4,60.7,Yes,No,3.5,Librarian,Yes,No,2026-05-08,2026-05,11.4,60.7,3.5,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0079,2026-05-13,Odense,Mobile Desk,Digital ID,45–59,Centre device,33.9,30.8,Yes,No,3.4,Volunteer,Yes,No,2026-05-13,2026-05,33.9,30.8,3.4,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0080,2026-05-18,Aarhus,Mobile Desk,Digital ID,60+,Phone support,10.8,52.8,Yes,No,4.0,Advisor,Yes,No,2026-05-18,2026-05,10.8,52.8,4.0,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0081,2026-05-23,Copenhagen,Library Hub,Online Benefits,18–29,Own device,10.4,65.7,Yes,No,4.4,Librarian,Yes,No,2026-05-23,2026-05,10.4,65.7,4.4,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0082,2026-05-01,Aalborg,Library Hub,Online Benefits,30–44,Centre device,18.5,22.5,Yes,No,3.6,Volunteer,Yes,No,2026-05-01,2026-05,18.5,22.5,3.6,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0083,2026-05-06,Odense,Library Hub,Online Benefits,45–59,Phone support,17.3,30.6,Yes,No,3.4,Advisor,Yes,No,2026-05-06,2026-05,17.3,30.6,3.4,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0084,2026-05-11,Aarhus,Library Hub,Online Benefits,60+,Own device,10.5,23.0,Yes,No,4.4,Librarian,Yes,No,2026-05-11,2026-05,10.5,23.0,4.4,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0085,2026-05-16,Copenhagen,Citizen Centre,Online Benefits,18–29,Centre device,16.6,35.1,No,No,4.3,Volunteer,No,No,2026-05-16,2026-05,16.6,35.1,4.3,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0086,2026-05-21,Aalborg,Citizen Centre,Job Portal,30–44,Phone support,0.0,43.6,Yes,No,5.0,Advisor,Yes,No,2026-05-21,2026-05,0.0,43.6,5.0,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0087,2026-05-26,Odense,Citizen Centre,Job Portal,45–59,Own device,6.7,53.2,Yes,No,4.2,Librarian,Yes,No,2026-05-26,2026-05,6.7,53.2,4.2,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0088,2026-05-04,Aarhus,Citizen Centre,Job Portal,60+,Centre device,16.0,61.3,No,Yes,4.7,Volunteer,No,Yes,2026-05-04,2026-05,16.0,61.3,4.7,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0089,2026-05-09,Copenhagen,Community Lab,Job Portal,18–29,Own device,13.3,26.1,Yes,No,4.3,Advisor,Yes,No,2026-05-09,2026-05,13.3,26.1,4.3,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0090,2026-05-14,Aalborg,Community Lab,Job Portal,30–44,Centre device,15.2,38.2,Yes,No,4.4,Librarian,Yes,No,2026-05-14,2026-05,15.2,38.2,4.4,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0091,2026-06-19,Odense,Community Lab,Health Booking,45–59,Phone support,30.0,48.1,Yes,No,4.3,Volunteer,Yes,No,2026-06-19,2026-06,30.0,48.1,4.3,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0092,2026-06-24,Aarhus,Community Lab,Health Booking,60+,Own device,15.0,27.6,Yes,No,3.7,Advisor,Yes,No,2026-06-24,2026-06,15.0,27.6,3.7,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0093,2026-06-02,Copenhagen,Mobile Desk,Health Booking,18–29,Centre device,22.4,26.3,Yes,No,2.4,Librarian,Yes,No,2026-06-02,2026-06,22.4,26.3,2.4,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0094,2026-06-07,Aalborg,Mobile Desk,Health Booking,30–44,Phone support,11.7,46.7,Yes,No,4.0,Volunteer,Yes,No,2026-06-07,2026-06,11.7,46.7,4.0,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0095,2026-06-12,Odense,Mobile Desk,Health Booking,45–59,Own device,17.4,40.3,Yes,No,3.5,Advisor,Yes,No,2026-06-12,2026-06,17.4,40.3,3.5,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0096,2026-06-17,Aarhus,Mobile Desk,Email & Documents,60+,Centre device,16.5,43.3,Yes,No,4.1,Librarian,Yes,No,2026-06-17,2026-06,16.5,43.3,4.1,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0097,2026-06-22,Copenhagen,Library Hub,Email & Documents,18–29,Phone support,17.7,60.4,Yes,No,3.4,Volunteer,Yes,No,2026-06-22,2026-06,17.7,60.4,3.4,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0098,2026-06-27,Aalborg,Library Hub,Email & Documents,30–44,Own device,8.2,69.8,Yes,No,4.0,Advisor,Yes,No,2026-06-27,2026-06,8.2,69.8,4.0,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0099,2026-06-05,Odense,Library Hub,Email & Documents,45–59,Centre device,20.5,40.8,Yes,No,3.9,Librarian,Yes,No,2026-06-05,2026-06,20.5,40.8,3.9,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0100,2026-06-10,Aarhus,Library Hub,Email & Documents,60+,Own device,7.6,50.1,No,Yes,4.5,Volunteer,No,Yes,2026-06-10,2026-06,7.6,50.1,4.5,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0101,2026-06-15,Copenhagen,Citizen Centre,Digital ID,18–29,Centre device,13.8,54.5,Yes,No,3.2,Advisor,Yes,No,2026-06-15,2026-06,13.8,54.5,3.2,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0102,2026-06-20,Aalborg,Citizen Centre,Digital ID,30–44,Phone support,12.6,22.1,Yes,No,4.1,Librarian,Yes,No,2026-06-20,2026-06,12.6,22.1,4.1,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0103,2026-06-25,Odense,Citizen Centre,Digital ID,45–59,Own device,18.0,37.9,Yes,No,5.0,Volunteer,Yes,No,2026-06-25,2026-06,18.0,37.9,5.0,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0104,2026-06-03,Aarhus,Citizen Centre,Digital ID,60+,Centre device,15.0,65.6,Yes,No,4.0,Advisor,Yes,No,2026-06-03,2026-06,15.0,65.6,4.0,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0105,2026-06-08,Copenhagen,Community Lab,Digital ID,18–29,Phone support,3.6,62.3,Yes,No,4.7,Librarian,Yes,No,2026-06-08,2026-06,3.6,62.3,4.7,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0106,2026-06-13,Aalborg,Community Lab,Online Benefits,30–44,Own device,14.4,78.0,No,No,3.2,Volunteer,No,No,2026-06-13,2026-06,14.4,78.0,3.2,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
