task_id,task_date,city,organisation_unit,task_type,execution_mode,minutes_spent,errors_found,human_review,outcome,confidence_rating,staff_sentiment,tool_version,human_review_clean,task_date_clean,report_month,minutes_spent_clean,errors_found_clean,confidence_rating_clean,flag_invalid_minutes,flag_invalid_errors,flag_invalid_confidence,flag_invalid_date,flag_high_error_no_review,flag_repeated_id,comment_raw,comment_clean
TASK-0026,2026-02-22,Aalborg,Finance,Document Check,Manual,34.6,1,No,Completed,3.4,Neutral,v1.1,No,2026-02-22,2026-02,34.6,1.0,3.4,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0027,2026-02-25,Odense,Finance,Document Check,Automated,19.6,4,No,Needs correction,2.9,Concerned,v1.2,No,2026-02-25,2026-02,19.6,4.0,2.9,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0028,2026-02-01,Aarhus,Finance,Document Check,Manual,41.0,1,No,Completed,3.2,Neutral,v1.0,No,2026-02-01,2026-02,41.0,1.0,3.2,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0029,2026-02-04,Copenhagen,Finance,Scheduling,Automated,13.2,0,Yes,Completed,4.5,Positive,v1.1,Yes,2026-02-04,2026-02,13.2,0.0,4.5,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0030,2026-02-07,Aalborg,Finance,Scheduling,AI-assisted,2.0,1,No,Completed,4.0,Positive,v1.2,No,2026-02-07,2026-02,2.0,1.0,4.0,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0031,2026-02-10,Odense,Citizen Services,Scheduling,AI-assisted,31.3,0,No,Completed,4.1,Positive,v1.0,No,2026-02-10,2026-02,31.3,0.0,4.1,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0032,2026-02-13,Aarhus,Citizen Services,Scheduling,Automated,12.4,2,Yes,Completed,4.1,Positive,v1.1,Yes,2026-02-13,2026-02,12.4,2.0,4.1,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0033,2026-02-16,Copenhagen,Citizen Services,Status Update,AI-assisted,44.9,0,No,Completed,4.7,Positive,v1.2,No,2026-02-16,2026-02,44.9,0.0,4.7,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0034,2026-02-19,Aalborg,Citizen Services,Status Update,Manual,41.5,3,No,Completed,2.9,Concerned,v1.0,No,2026-02-19,2026-02,41.5,3.0,2.9,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0035,2026-02-22,Odense,Citizen Services,Status Update,Automated,28.7,3,Yes,Completed,2.6,Concerned,v1.1,Yes,2026-02-22,2026-02,28.7,3.0,2.6,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0036,2026-02-25,Aarhus,HR,Status Update,AI-assisted,12.0,3,Yes,Completed,3.7,Neutral,v1.2,Yes,2026-02-25,2026-02,12.0,3.0,3.7,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0037,2026-02-01,Copenhagen,HR,Email Triage,Automated,8.0,1,Y,Completed,3.8,Neutral,v1.0,Yes,2026-02-01,2026-02,8.0,1.0,3.8,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0038,2026-02-04,Aalborg,HR,Email Triage,AI-assisted,30.3,2,Yes,Completed,3.2,Neutral,v1.1,Yes,2026-02-04,2026-02,30.3,2.0,3.2,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0039,2026-02-07,Odense,HR,Email Triage,Manual,48.1,0,No,Completed,3.6,Neutral,v1.2,No,2026-02-07,2026-02,48.1,0.0,3.6,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0040,2026-02-10,Aarhus,HR,Email Triage,Automated,16.4,0,Yes,Completed,4.2,Positive,v1.0,Yes,2026-02-10,2026-02,16.4,0.0,4.2,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0041,2026-03-13,Copenhagen,Procurement,Data Entry,AI-assisted,20.9,2,Yes,Completed,4.4,Positive,v1.1,Yes,2026-03-13,2026-03,20.9,2.0,4.4,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0042,2026-03-16,Aalborg,Procurement,Data Entry,Manual,43.2,1,No,Completed,3.3,Neutral,v1.2,No,2026-03-16,2026-03,43.2,1.0,3.3,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0043,2026-03-19,Odense,Procurement,Data Entry,Automated,26.1,0,Yes,Completed,4.7,Concerned,v1.0,Yes,2026-03-19,2026-03,26.1,0.0,4.7,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0044,2026-03-22,Aarhus,Procurement,Data Entry,AI-assisted,26.7,1,Yes,Completed,3.7,Neutral,v1.1,Yes,2026-03-22,2026-03,26.7,1.0,3.7,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0045,2026-03-25,Copenhagen,Procurement,Document Check,Manual,30.3,2,No,Completed,3.7,Neutral,v1.2,No,2026-03-25,2026-03,30.3,2.0,3.7,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0046,2026-03-01,Aalborg,Communications,Document Check,AI-assisted,32.2,1,Yes,Completed,3.6,Neutral,v1.0,Yes,2026-03-01,2026-03,32.2,1.0,3.6,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0047,2026-03-04,Odense,Communications,Document Check,Manual,46.4,2,No,Completed,3.3,Neutral,v1.1,No,2026-03-04,2026-03,46.4,2.0,3.3,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0048,2026-03-07,Aarhus,Communications,Document Check,Automated,16.4,0,No,Completed,4.9,Positive,v1.2,No,2026-03-07,2026-03,16.4,0.0,4.9,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0049,2026-02-30,Copenhagen,Communications,Scheduling,AI-assisted,12.0,0,No,Completed,3.9,Neutral,v1.0,No,,,12.0,0.0,3.9,No,No,No,Yes,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0050,2026-03-13,Aalborg,Communications,Scheduling,Manual,unknown,2,No,Completed,2.7,Concerned,v1.1,No,2026-03-13,2026-03,,2.0,2.7,Yes,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0051,2026-03-16,Odense,Finance,Scheduling,Automated,-5,3,Yes,Completed,2.4,Concerned,v1.2,Yes,2026-03-16,2026-03,,3.0,2.4,Yes,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0052,2026-03-19,Aarhus,Finance,Scheduling,AI-assisted,19.7,-1,Yes,Completed,3.5,Neutral,v1.0,Yes,2026-03-19,2026-03,19.7,,3.5,No,Yes,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0053,2026-03-22,Copenhagen,Finance,Status Update,Manual,39.8,3,No,Completed,7.0,Neutral,v1.1,No,2026-03-22,2026-03,39.8,3.0,,No,No,Yes,No,No,No,The result was clear and useful.,result clear useful
TASK-0054,2026-03-25,Aalborg,Finance,Status Update,Automated,13.9,7,No,Needs correction,3.8,Neutral,v1.2,No,2026-03-25,2026-03,13.9,7.0,3.8,No,No,No,No,Yes,No,Human review caught an important error.,human review caught important error
TASK-0055,2026-03-01,Odense,Finance,Status Update,Manual,48.7,1,No,Completed,3.7,Neutral,v1.0,No,2026-03-01,2026-03,48.7,1.0,3.7,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0056,2026-03-04,Aarhus,Citizen Services,Status Update,Automated,20.3,3,No,Completed,2.7,Concerned,v1.1,No,2026-03-04,2026-03,20.3,3.0,2.7,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0057,2026-03-07,Copenhagen,Citizen Services,Email Triage,AI-assisted,36.7,3,Yes,Completed,3.2,Neutral,v1.2,Yes,2026-03-07,2026-03,36.7,3.0,3.2,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0058,2026-03-10,Aalborg,Citizen Services,Email Triage,Manual,32.9,3,No,Completed,2.5,Concerned,v1.0,No,2026-03-10,2026-03,32.9,3.0,2.5,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0059,2026-03-13,Odense,Citizen Services,Email Triage,Automated,19.5,2,No,Completed,3.9,Neutral,v1.1,No,2026-03-13,2026-03,19.5,2.0,3.9,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0060,2026-03-16,Aarhus,Citizen Services,Email Triage,AI-assisted,26.1,1,No,Completed,3.6,Neutral,v1.2,No,2026-03-16,2026-03,26.1,1.0,3.6,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0061,2026-04-19,Copenhagen,HR,Data Entry,Manual,49.3,0,No,Completed,4.3,Positive,v1.0,No,2026-04-19,2026-04,49.3,0.0,4.3,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0062,2026-04-22,Aalborg,HR,Data Entry,Automated,29.1,2,Yes,Completed,3.4,Neutral,v1.1,Yes,2026-04-22,2026-04,29.1,2.0,3.4,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0063,2026-04-25,Odense,HR,Data Entry,AI-assisted,22.6,0,Yes,Completed,4.7,Positive,v1.2,Yes,2026-04-25,2026-04,22.6,0.0,4.7,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0064,2026-04-01,Aarhus,HR,Data Entry,Automated,34.1,4,Yes,Needs correction,2.8,Concerned,v1.0,Yes,2026-04-01,2026-04,34.1,4.0,2.8,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0065,2026-04-04,Copenhagen,HR,Document Check,AI-assisted,23.1,4,Yes,Needs correction,2.3,Concerned,v1.1,Yes,2026-04-04,2026-04,23.1,4.0,2.3,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0066,2026-04-07,Aalborg,Procurement,Document Check,Manual,44.6,1,No,Completed,4.0,Positive,v1.2,No,2026-04-07,2026-04,44.6,1.0,4.0,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0067,2026-04-10,Odense,Procurement,Document Check,Automated,2.0,1,Yes,Completed,4.3,Positive,v1.0,Yes,2026-04-10,2026-04,2.0,1.0,4.3,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0068,2026-04-13,Aarhus,Procurement,Document Check,AI-assisted,12.7,2,Yes,Completed,3.8,Neutral,v1.1,Yes,2026-04-13,2026-04,12.7,2.0,3.8,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0069,2026-04-16,Copenhagen,Procurement,Scheduling,Manual,65.0,0,No,Completed,4.0,Positive,v1.2,No,2026-04-16,2026-04,65.0,0.0,4.0,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0070,2026-04-19,Aalborg,Procurement,Scheduling,Automated,18.6,1,No,Completed,3.5,Neutral,v1.0,No,2026-04-19,2026-04,18.6,1.0,3.5,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0071,2026-04-22,Odense,Communications,Scheduling,AI-assisted,13.9,3,Yes,Completed,2.3,Concerned,v1.1,Yes,2026-04-22,2026-04,13.9,3.0,2.3,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0072,2026-04-25,Aarhus,Communications,Scheduling,Manual,60.0,1,No,Completed,4.1,Positive,v1.2,No,2026-04-25,2026-04,60.0,1.0,4.1,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0073,2026-04-01,Copenhagen,Communications,Status Update,AI-assisted,47.0,2,Yes,Completed,4.1,Positive,v1.0,Yes,2026-04-01,2026-04,47.0,2.0,4.1,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0074,2026-04-04,Aalborg,Communications,Status Update,Manual,42.3,0,No,Completed,4.8,Positive,v1.1,No,2026-04-04,2026-04,42.3,0.0,4.8,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0075,2026-04-07,Odense,Communications,Status Update,Automated,30.4,2,Yes,Completed,2.9,Concerned,v1.2,Yes,2026-04-07,2026-04,30.4,2.0,2.9,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0076,2026-04-10,Aarhus,Finance,Status Update,AI-assisted,48.0,2,No,Completed,3.6,Neutral,v1.0,No,2026-04-10,2026-04,48.0,2.0,3.6,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0077,2026-04-13,Copenhagen,Finance,Email Triage,Manual,44.0,2,No,Completed,2.6,Concerned,v1.1,No,2026-04-13,2026-04,44.0,2.0,2.6,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0078,2026-04-16,Aalborg,Finance,Email Triage,Automated,15.0,2,Yes,Completed,3.3,Neutral,v1.2,Yes,2026-04-16,2026-04,15.0,2.0,3.3,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0079,2026-04-19,Odense,Finance,Email Triage,AI-assisted,39.0,3,Yes,Completed,3.2,Neutral,v1.0,Yes,2026-04-19,2026-04,39.0,3.0,3.2,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0080,2026-04-22,Aarhus,Finance,Email Triage,Manual,48.2,1,No,Completed,4.1,Positive,v1.1,No,2026-04-22,2026-04,48.2,1.0,4.1,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0081,2026-05-25,Copenhagen,Citizen Services,Data Entry,Automated,29.6,3,Yes,Completed,3.2,Neutral,v1.2,Yes,2026-05-25,2026-05,29.6,3.0,3.2,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0082,2026-05-01,Aalborg,Citizen Services,Data Entry,Manual,56.6,2,No,Completed,3.6,Neutral,v1.0,No,2026-05-01,2026-05,56.6,2.0,3.6,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0083,2026-05-04,Odense,Citizen Services,Data Entry,Automated,16.4,1,No,Completed,3.0,Neutral,v1.1,No,2026-05-04,2026-05,16.4,1.0,3.0,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0084,2026-05-07,Aarhus,Citizen Services,Data Entry,AI-assisted,24.4,3,Yes,Completed,2.3,Concerned,v1.2,Yes,2026-05-07,2026-05,24.4,3.0,2.3,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0085,2026-05-10,Copenhagen,Citizen Services,Document Check,Manual,35.5,2,No,Completed,3.6,Neutral,v1.0,No,2026-05-10,2026-05,35.5,2.0,3.6,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0086,2026-05-13,Aalborg,HR,Document Check,Automated,20.6,6,Yes,Needs correction,1.5,Concerned,v1.1,Yes,2026-05-13,2026-05,20.6,6.0,1.5,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0087,2026-05-16,Odense,HR,Document Check,AI-assisted,2.0,2,Yes,Completed,3.2,Neutral,v1.2,Yes,2026-05-16,2026-05,2.0,2.0,3.2,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0088,2026-05-19,Aarhus,HR,Document Check,Manual,31.1,1,No,Completed,4.3,Positive,v1.0,No,2026-05-19,2026-05,31.1,1.0,4.3,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0089,2026-05-22,Copenhagen,HR,Scheduling,Automated,20.0,2,Yes,Completed,3.3,Neutral,v1.1,Yes,2026-05-22,2026-05,20.0,2.0,3.3,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0090,2026-05-25,Aalborg,HR,Scheduling,AI-assisted,36.4,1,Yes,Completed,4.2,Positive,v1.2,Yes,2026-05-25,2026-05,36.4,1.0,4.2,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0091,2026-05-01,Odense,Procurement,Scheduling,Automated,34.2,2,Yes,Completed,3.7,Neutral,v1.0,Yes,2026-05-01,2026-05,34.2,2.0,3.7,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0092,2026-05-04,Aarhus,Procurement,Scheduling,AI-assisted,26.7,1,Yes,Completed,3.7,Neutral,v1.1,Yes,2026-05-04,2026-05,26.7,1.0,3.7,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0093,2026-05-07,Copenhagen,Procurement,Status Update,Manual,38.0,1,No,Completed,3.6,Neutral,v1.2,No,2026-05-07,2026-05,38.0,1.0,3.6,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0094,2026-05-10,Aalborg,Procurement,Status Update,Automated,2.4,1,Yes,Completed,3.8,Neutral,v1.0,Yes,2026-05-10,2026-05,2.4,1.0,3.8,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0095,2026-05-13,Odense,Procurement,Status Update,AI-assisted,34.1,2,Yes,Completed,3.1,Neutral,v1.1,Yes,2026-05-13,2026-05,34.1,2.0,3.1,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0096,2026-05-16,Aarhus,Communications,Status Update,Manual,55.7,3,No,Completed,3.0,Neutral,v1.2,No,2026-05-16,2026-05,55.7,3.0,3.0,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0097,2026-05-19,Copenhagen,Communications,Email Triage,Automated,12.7,4,No,Needs correction,1.9,Concerned,v1.0,No,2026-05-19,2026-05,12.7,4.0,1.9,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0098,2026-05-22,Aalborg,Communications,Email Triage,AI-assisted,33.6,5,Yes,Needs correction,1.9,Concerned,v1.1,Yes,2026-05-22,2026-05,33.6,5.0,1.9,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0099,2026-05-25,Odense,Communications,Email Triage,Manual,47.4,3,No,Completed,3.1,Neutral,v1.2,No,2026-05-25,2026-05,47.4,3.0,3.1,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0100,2026-05-01,Aarhus,Communications,Email Triage,AI-assisted,24.3,4,No,Needs correction,2.1,Concerned,v1.0,No,2026-05-01,2026-05,24.3,4.0,2.1,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0101,2026-06-04,Copenhagen,Finance,Data Entry,Manual,47.4,3,No,Completed,2.7,Concerned,v1.1,No,2026-06-04,2026-06,47.4,3.0,2.7,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0102,2026-06-07,Aalborg,Finance,Data Entry,Automated,14.6,0,Yes,Completed,4.6,Positive,v1.2,Yes,2026-06-07,2026-06,14.6,0.0,4.6,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0103,2026-06-10,Odense,Finance,Data Entry,AI-assisted,30.0,0,Yes,Completed,5.0,Positive,v1.0,Yes,2026-06-10,2026-06,30.0,0.0,5.0,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0104,2026-06-13,Aarhus,Finance,Data Entry,Manual,48.8,1,No,Completed,4.1,Positive,v1.1,No,2026-06-13,2026-06,48.8,1.0,4.1,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0105,2026-06-16,Copenhagen,Finance,Document Check,Automated,20.1,1,Yes,Completed,3.5,Neutral,v1.2,Yes,2026-06-16,2026-06,20.1,1.0,3.5,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0106,2026-06-19,Aalborg,Citizen Services,Document Check,AI-assisted,12.8,2,Yes,Completed,3.1,Neutral,v1.0,Yes,2026-06-19,2026-06,12.8,2.0,3.1,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0107,2026-06-22,Odense,Citizen Services,Document Check,Manual,80.7,3,No,Completed,2.5,Concerned,v1.1,No,2026-06-22,2026-06,80.7,3.0,2.5,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0108,2026-06-25,Aarhus,Citizen Services,Document Check,Automated,14.8,4,Yes,Needs correction,2.8,Concerned,v1.2,Yes,2026-06-25,2026-06,14.8,4.0,2.8,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0109,2026-06-01,Copenhagen,Citizen Services,Scheduling,Manual,39.3,4,No,Needs correction,2.4,Concerned,v1.0,No,2026-06-01,2026-06,39.3,4.0,2.4,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0110,2026-06-04,Aalborg,Citizen Services,Scheduling,Automated,25.0,4,Yes,Needs correction,1.7,Concerned,v1.1,Yes,2026-06-04,2026-06,25.0,4.0,1.7,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0111,2026-06-07,Odense,HR,Scheduling,AI-assisted,20.5,1,No,Completed,4.1,Positive,v1.2,No,2026-06-07,2026-06,20.5,1.0,4.1,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
