record_id,report_month,city,service_type,cases_received,cases_resolved,resolution_days,satisfaction_score,digital_cases,in_person_cases,repeat_contacts,complaints_received,staff_hours,feedback
SR2026-0083,2026-05-01,Copenhagen,Employment,110,108,5.6,3.9,84,26,11,5,61.5,Useful advice and a friendly response from staff.
SR2026-0084,2026-05-01,Copenhagen,Waste,138,131,3.1,4.4,110,28,8,3,47.2,"Helpful guidance, but some users reported delayed follow-up."
SR2026-0085,2026-05-01,Copenhagen,Citizen Services,178,176,3.5,4.5,149,29,6,4,50.9,"The process took forever, although the staff member was helpful."
SR2026-0086,2026-05-01,Aarhus,Housing,127,118,7.0,3.7,87,40,15,10,88.2,"The online application was useful, but several steps were difficult to understand."
SR2026-0087,2026-05-01,Aarhus,Transport,122,118,3.6,4.1,91,31,10,5,51.3,Clear information and a helpful answer about the transport service.
SR2026-0088,2026-05-01,Aarhus,Employment,99,96,4.0,,75,24,11,7,52.7,"Staff were helpful, though appointment availability varied."
SR2026-0089,2026-05-01,Aarhus,Waste,103,101,3.0,4.3,83,20,5,3,36.0,"Helpful guidance, but some users reported delayed follow-up."
SR2026-0090,2026-05-01,Aarhus,Citizen Services,159,162,2.5,4.6,128,31,4,6,46.4,The response was fast and the information was useful.
SR2026-0091,2026-05-01,Odense,Housing,113,110,7.4,3.6,74,39,15,9,77.0,"The online application was useful, but several steps were difficult to understand."
SR2026-0092,2026-05-01,Odense,Transport,92,91,3.5,4.0,66,26,4,6,35.3,Fast response and useful guidance.
SR2026-0093,2026-05-01,Odense,Employment,87,86,5.0,4.1,64,23,10,4,45.2,The guidance was clear but the process required repeated contact.
SR2026-0094,2026-05-01,Odense,Waste,89,86,2.4,4.3,66,23,5,-2,27.3,The online information was clear and easy to find.
SR2026-0095,2026-05-01,Odense,Citizen Services,141,140,1.9,4.6,107,34,9,4,42.7,Friendly staff and a clear answer.
SR2026-0096,2026-05-01,Aalborg,Housing,100,93,6.9,3.8,57,43,12,7,64.2,"The guidance was clear, but the supporting-document requirements caused delays."
SR2026-0097,2026-05-01,Aalborg,Employment Services,97,94,3.1,4.2,67,30,6,8,43.0,Clear information and a helpful answer about the transport service.
SR2026-0098,2026-05-01,Aalborg,Employment,72,70,4.8,4.1,46,26,6,3,40.1,Useful advice and a friendly response from staff.
SR2026-0099,2026-05-01,Koebenhavn,Waste,76,75,3.0,4.6,50,26,5,3,24.5,The online information was clear and easy to find.
SR2026-0100,2026-05-01,Aalborg,Citizen Services,102,101,2.1,4.5,74,28,5,3,27.3,Quick and helpful service with clear instructions.
SR2026-0101,2026-06-01,Copenhagen,Housing,131,129,7.9,3.6,87,44,16,9,82.0,"The guidance was clear, but the supporting-document requirements caused delays."
SR2026-0102,2026-06-01,Copenhagen,Transport,123,119,4.7,4.2,105,18,8,6,49.3,Several users asked for clearer information about service changes.
SR2026-0103,2026-06-01,Copenhagen,Employment,101,100,unknown,4.1,76,25,7,4,59.2,"The online information was helpful, but some users wanted more detailed instructions."
SR2026-0104,2026-06-01,Copenhagen,Waste,97,94,3.2,4.4,79,18,5,4,33.3,The issue was resolved quickly after the first contact.
SR2026-0105,2026-06-01,Copenhagen,Citizen Services,141,140,3.1,4.4,122,19,7,4,40.7,The digital form was convenient and staff explained the process clearly.
SR2026-0106,2026-06-01,Aarhus,Housing,109,106,6.9,3.8,79,30,15,8,0.0,Staff were friendly and the final answer was helpful.
SR2026-0107,2026-06-01,Aarhus,Transport,102,101,3.4,4.2,75,27,6,5,40.8,Fast response and useful guidance.
SR2026-0108,2026-06-01,Aarhus,Employment,86,85,4.8,4.1,65,21,8,4,50.1,Useful advice and a friendly response from staff.
SR2026-0109,2026-06-01,Aarhus,Waste,90,88,3.0,4.4,71,19,6,2,32.5,The issue was resolved quickly after the first contact.
SR2026-0110,2026-06-01,Aarhus,Citizen Services,118,117,2.1,4.6,94,24,6,3,33.3,Friendly staff and a clear answer.
SR2026-0111,2026-06-01,Odense,Housing,94,89,6.5,,62,32,12,7,59.2,"Helpful staff explained the housing process, although the waiting time felt long."
SR2026-0112,2026-06-01,Odense,Transport,75,73,3.7,4.2,53,22,6,4,31.7,Clear information and a helpful answer about the transport service.
SR2026-0113,2026-06-01,Odense,Employment,78,75,4.5,4.4,55,23,8,2,44.1,The guidance was clear but the process required repeated contact.
SR2026-0114,2026-06-01,Odense,Waste,81,80,2.8,4.6,58,23,6,4,28.0,The online information was clear and easy to find.
SR2026-0115,2026-06-01,Odense,Citizen Services,111,110,2.5,4.5,88,23,4,3,37.3,Friendly staff and a clear answer.
SR2026-0116,2026-06-01,Aalborg,Housing,89,85,5.9,3.9,53,36,13,8,56.8,Staff were friendly and the final answer was helpful.
SR2026-0117,2026-06-01,Aalborg,Transport,80,79,3.4,4.2,56,24,6,4,32.4,"The digital form worked well, although some instructions were confusing."
SR2026-0118,2026-06-01,Aalborg,Employment,66,65,4.2,4.2,42,24,6,3,37.5,
SR2026-0119,2026-06-01,Aalborg,Waste,71,70,2.3,4.3,49,22,4,4,23.3,Collection information was easy to understand and the response was quick.
SR2026-0120,2026-06-01,Aalborg,Citizen Services,94,93,1.8,4.7,67,27,4,3,29.8,The response was fast and the information was useful.
SR2026-0027,2026-02-01,Aarhus,Transport,110,102,4.9,4.2,79,31,6,7,42.5,"The digital form worked well, although some instructions were confusing."
